b,1,k4_1,2,k4_2,3,k4_3,5,k4_5
16,3.75,4.375,13.75,17.5,16.25,21.875,20.0,21.875
32,2.625,3.0,12.375,15.0,15.0,24.0,24.0,25.125
64,1.75,2.1875,9.40625,13.125,12.6875,21.0,25.8125,28.65625
128,1.125,1.375,7.125,11.0,10.0,19.5,24.125,29.5
256,0.703125,0.9140625,4.9921875,9.28125,7.453125,17.4375,19.96875,26.9296875
512,0.4296875,0.5859375,3.4765625,7.65625,5.15625,15.0,16.25,24.8828125
1024,0.2578125,0.365234375,2.298828125,6.31640625,3.501953125,13.212890625,12.07421875,23.138671875
2048,0.15234375,0.234375,1.51171875,5.14453125,2.30859375,11.4609375,8.9765625,21.0
4096,0.0888671875,0.14599609375,0.95849609375,4.189453125,1.50439453125,9.75,6.24609375,19.03662109375
8192,0.05126953125,0.09228515625,0.60498046875,3.4111328125,0.96044921875,8.33984375,4.361328125,17.0625
16384,0.029296875,0.05859375,0.3717041015625,2.74658203125,0.6024169921875,7.115478515625,2.896728515625,15.4119873046875
32768,0.0166015625,0.0361328125,0.2275390625,2.203125,0.3720703125,6.0,1.9248046875,13.7431640625
65536,0.00933837890625,0.0228271484375,0.136444091796875,1.765472412109375,0.226715087890625,5.061920166015625,1.228515625,12.19903564453125
131072,0.005218505859375,0.0142822265625,0.081298828125,1.410919189453125,0.136505126953125,4.255279541015625,0.78607177734375,10.831146240234375
262144,0.002899169921875,0.0089874267578125,0.04769134521484375,1.1256027221679688,0.08132171630859375,3.5625,0.4879302978515625,9.632637023925781
524288,0.0016021728515625,0.0055694580078125,0.027923583984375,0.8950042724609375,0.0460052490234375,2.97760009765625,0.3045654296875,8.496856689453125
1048576,0.000881195068359375,0.003444671630859375,0.016141891479492188,0.7096824645996094,0.026996612548828125,2.4822463989257812,0.18537139892578125,7.49772834777832
